dataset,pid,path,sx,sy,sz,nx,ny,nz,fov_x,fov_y,fov_z,raw_min,raw_max,mean,std,q01,q50,q99,frac_below,frac_above,eff_spacing_h,eff_spacing_w,slab_z_mm
train(totalseg),s0016,F:\Totalsegmentator_dataset_v201\nii\s0016.nii.gz,1.5,1.5,1.5,259,259,294,388.5,388.5,441.0,-1167.0,2995.0,-506.07147216796875,500.2281494140625,-1024.0,-836.0,464.0,0.0016205400921415975,0.0016387939855449446,1.517578125,1.517578125,18.0
train(totalseg),s0015,F:\Totalsegmentator_dataset_v201\nii\s0015.nii.gz,1.5,1.5,1.5,293,293,344,439.5,439.5,516.0,-1156.0,2484.0,-581.174560546875,499.2842712402344,-1024.0,-948.0,367.0,0.00397297039217718,0.0010112738495045724,1.716796875,1.716796875,18.0
train(totalseg),s0036,F:\Totalsegmentator_dataset_v201\nii\s0036.nii.gz,1.5,1.5,1.5,121,121,137,181.5,181.5,205.5,-1156.0,2852.0,-236.35260009765625,490.7703857421875,-1028.0,-83.0,1198.0,0.014515773614555258,0.013328228184212127,0.708984375,0.708984375,18.0
train(totalseg),s0011,F:\Totalsegmentator_dataset_v201\nii\s0011.nii.gz,1.5,1.5,1.5,311,311,431,466.5,466.5,646.5,-1425.0,3470.0,-643.9362182617188,481.5531921386719,-1024.0,-961.0,324.0,0.0061140989499688676,0.0012911292418859857,1.822265625,1.822265625,18.0
train(totalseg),s0022,F:\Totalsegmentator_dataset_v201\nii\s0022.nii.gz,1.5,1.5,1.5,295,295,250,442.5,442.5,375.0,-1237.0,1673.0,-580.9463500976562,488.21685791015625,-1024.0,-947.0,296.0,0.002253467290848961,0.00037717895422331726,1.728515625,1.728515625,18.0
train(totalseg),s0032,F:\Totalsegmentator_dataset_v201\nii\s0032.nii.gz,1.5,1.5,1.5,221,221,216,331.5,331.5,324.0,-1548.0,3846.0,-538.4678344726562,523.6818237304688,-1024.0,-870.0,654.0,0.0068510290762087405,0.00461361014994233,1.294921875,1.294921875,18.0
train(totalseg),s0035,F:\Totalsegmentator_dataset_v201\nii\s0035.nii.gz,1.5,1.5,1.5,320,320,145,480.0,480.0,217.5,-1147.0,1697.0,-721.6338500976562,449.4277038574219,-1024.0,-991.0,362.0,0.006091056034482759,0.0012036637931034484,1.875,1.875,18.0
train(totalseg),s0039,F:\Totalsegmentator_dataset_v201\nii\s0039.nii.gz,1.5,1.5,1.5,296,296,92,444.0,444.0,138.0,-1166.0,1344.0,-657.658203125,469.16375732421875,-1024.0,-970.0,278.0,0.003011534393831782,8.311958986065063e-05,1.734375,1.734375,18.0
train(totalseg),s0031,F:\Totalsegmentator_dataset_v201\nii\s0031.nii.gz,1.5,1.5,1.5,288,288,280,432.0,432.0,420.0,-1054.0,1579.0,-586.052001953125,485.7080383300781,-1024.0,-932.0,356.0,0.007036933697089947,0.0007776331018518518,1.6875,1.6875,18.0
train(totalseg),s0028,F:\Totalsegmentator_dataset_v201\nii\s0028.nii.gz,1.5,1.5,1.5,299,299,394,448.5,448.5,591.0,-1343.0,3321.0,-654.3110961914062,465.8032531738281,-1024.0,-973.0,300.0,0.004512264109001584,0.0005064160511914574,1.751953125,1.751953125,18.0
train(totalseg),s0030,F:\Totalsegmentator_dataset_v201\nii\s0030.nii.gz,1.5,1.5,1.5,309,309,317,463.5,463.5,475.5,-1208.0,3078.0,-524.0481567382812,482.25494384765625,-1024.0,-779.0,326.0,0.0023380863321065823,0.0010942434337464675,1.810546875,1.810546875,18.0
train(totalseg),s0037,F:\Totalsegmentator_dataset_v201\nii\s0037.nii.gz,1.5,1.5,1.5,253,253,217,379.5,379.5,325.5,-1313.0,3606.0,-676.259521484375,459.7583923339844,-1040.0,-943.0,392.0,0.05887831297917279,0.000935352337045345,1.482421875,1.482421875,18.0
train(totalseg),s0024,F:\Totalsegmentator_dataset_v201\nii\s0024.nii.gz,1.5,1.5,1.5,287,287,486,430.5,430.5,729.0,-1303.0,3282.0,-524.0693359375,492.4727783203125,-1024.0,-845.0,392.0,0.0035289106278596663,0.0012558662171987573,1.681640625,1.681640625,18.0
train(totalseg),s0034,F:\Totalsegmentator_dataset_v201\nii\s0034.nii.gz,1.5,1.5,1.5,308,308,283,462.0,462.0,424.5,-1125.0,3249.0,-643.7064819335938,466.1828308105469,-1024.0,-965.0,253.0,0.002492167325125886,0.0009616146782866988,1.8046875,1.8046875,18.0
train(totalseg),s0043,F:\Totalsegmentator_dataset_v201\nii\s0043.nii.gz,1.0,1.0,1.0,134,159,159,134.0,159.0,159.0,-1503.9998779296875,3595.0,-572.1178588867188,544.7888793945312,-1025.0277099609375,-951.034423828125,1009.981689453125,0.04511617774424425,0.009650926570423072,0.62109375,0.5234375,12.0
train(totalseg),s0029,F:\Totalsegmentator_dataset_v201\nii\s0029.nii.gz,1.5,1.5,1.5,300,300,422,450.0,450.0,633.0,-1205.0,3489.0,-648.2178344726562,488.1942138671875,-1024.0,-964.0,318.0,0.0027744593656263195,0.0016568715144165832,1.7578125,1.7578125,18.0
train(totalseg),s0038,F:\Totalsegmentator_dataset_v201\nii\s0038.nii.gz,1.5,1.5,1.5,240,240,333,360.0,360.0,499.5,-1041.0,1580.0,-527.8970947265625,491.0016174316406,-1020.0,-887.0,351.0,0.0017924174174174174,0.0010573073073073074,1.40625,1.40625,18.0
train(totalseg),s0044,F:\Totalsegmentator_dataset_v201\nii\s0044.nii.gz,1.5,1.5,1.5,151,114,136,226.5,171.0,204.0,-1580.0,3256.0,-376.0429992675781,560.6970825195312,-1026.0,-118.0,1234.0,0.011628701672373376,0.015995017735222355,0.66796875,0.884765625,18.0
train(totalseg),s0056,F:\Totalsegmentator_dataset_v201\nii\s0056.nii.gz,1.5,1.5,1.5,179,179,139,268.5,268.5,208.5,-1038.0,3078.0,-531.941650390625,531.2054443359375,-1015.0,-926.0,865.0,0.0002613556680163307,0.007357700932325722,1.048828125,1.048828125,18.0
train(totalseg),s0048,F:\Totalsegmentator_dataset_v201\nii\s0048.nii.gz,1.0,1.0,1.0,236,182,140,236.0,182.0,140.0,-1144.997802734375,2600.98681640625,-316.0356140136719,439.9179992675781,-1013.9857177734375,-94.01060485839844,323.01934814453125,0.0012405874996674027,0.00013370406832876567,0.7109375,0.921875,12.0
train(totalseg),s0046,F:\Totalsegmentator_dataset_v201\nii\s0046.nii.gz,1.5,1.5,1.5,247,247,213,370.5,370.5,319.5,-1099.0,3309.0,-542.9215087890625,477.6868896484375,-1021.0,-862.0,334.0,0.0017657670663433916,0.0009340573804269192,1.447265625,1.447265625,18.0
train(totalseg),s0042,F:\Totalsegmentator_dataset_v201\nii\s0042.nii.gz,1.5,1.5,1.5,285,285,332,427.5,427.5,498.0,-1201.0,2998.0,-517.1583251953125,485.8852844238281,-1024.0,-813.0,302.0,0.0025303798736679033,0.0006105307204418249,1.669921875,1.669921875,18.0
train(totalseg),s0040,F:\Totalsegmentator_dataset_v201\nii\s0040.nii.gz,1.5,1.5,1.5,291,291,421,436.5,436.5,631.5,-1319.0,3310.0,-663.7705078125,470.4718017578125,-1024.0,-962.0,353.0,0.003100078511760355,0.0007911763889134326,1.705078125,1.705078125,18.0
train(totalseg),s0045,F:\Totalsegmentator_dataset_v201\nii\s0045.nii.gz,1.5,1.5,1.5,231,231,306,346.5,346.5,459.0,-1050.0,3084.0,-395.0730895996094,488.47625732421875,-1015.0,-104.0,428.0,0.0011833934675798694,0.001639223182385902,1.353515625,1.353515625,18.0
train(totalseg),s0050,F:\Totalsegmentator_dataset_v201\nii\s0050.nii.gz,1.5,1.5,1.5,261,182,399,391.5,273.0,598.5,-1075.0,3214.0,-426.5781555175781,498.3281555175781,-1010.0,-119.0,516.0,0.00024850553729429705,0.0012889575957748783,1.06640625,1.529296875,18.0
train(totalseg),s0052,F:\Totalsegmentator_dataset_v201\nii\s0052.nii.gz,1.5,1.5,1.5,249,249,294,373.5,373.5,441.0,-1043.0,2470.0,-419.4200744628906,494.1373596191406,-1019.0,-117.0,454.0,0.0008514233362409002,0.0016238486309749127,1.458984375,1.458984375,18.0
train(totalseg),s0057,F:\Totalsegmentator_dataset_v201\nii\s0057.nii.gz,1.5,1.5,1.5,293,293,184,439.5,439.5,276.0,-1218.0,1729.0,-571.3261108398438,476.5211486816406,-1024.0,-909.0,196.0,0.008861869197027946,5.9254697454124455e-05,1.716796875,1.716796875,18.0
train(totalseg),s0049,F:\Totalsegmentator_dataset_v201\nii\s0049.nii.gz,1.5,1.5,1.5,221,221,455,331.5,331.5,682.5,-1396.0,3172.0,-363.32330322265625,482.1085510253906,-1024.0,-106.0,529.0,0.006640250382312537,0.002222596614914077,1.294921875,1.294921875,18.0
train(totalseg),s0054,F:\Totalsegmentator_dataset_v201\nii\s0054.nii.gz,1.5,1.5,1.5,261,261,273,391.5,391.5,409.5,-1154.0,3388.0,-514.008544921875,488.80364990234375,-1024.0,-695.0,408.0,0.0009458494470087713,0.0021331351655962455,1.529296875,1.529296875,18.0
train(totalseg),s0063,F:\Totalsegmentator_dataset_v201\nii\s0063.nii.gz,1.5,1.5,1.5,210,156,210,315.0,234.0,315.0,-1169.0,3570.0,-601.103271484375,523.56005859375,-1024.0,-989.0,680.0,0.006904471190185476,0.004341531484388627,0.9140625,1.23046875,18.0
train(totalseg),s0061,F:\Totalsegmentator_dataset_v201\nii\s0061.nii.gz,1.0,1.0,1.0,233,194,202,233.0,194.0,202.0,-1406.0,2639.98486328125,-694.5194702148438,485.5963134765625,-1024.0283203125,-995.0130004882812,608.0205688476562,0.08207600534673558,0.002665153839119333,0.7578125,0.91015625,12.0
train(totalseg),s0068,F:\Totalsegmentator_dataset_v201\nii\s0068.nii.gz,1.5,1.5,1.5,104,137,189,156.0,205.5,283.5,-1127.0,3577.0,-141.6703338623047,451.8419189453125,-1024.0,-5.0,885.0,0.00020498560644546045,0.007853325371573548,0.802734375,0.609375,18.0
train(totalseg),s0053,F:\Totalsegmentator_dataset_v201\nii\s0053.nii.gz,1.5,1.5,1.5,333,333,346,499.5,499.5,519.0,-1200.0,1323.0,-623.3287353515625,474.3531799316406,-1024.0,-969.0,253.0,0.0033158185552393167,0.0001735839614674882,1.951171875,1.951171875,18.0
train(totalseg),s0067,F:\Totalsegmentator_dataset_v201\nii\s0067.nii.gz,1.0,1.0,1.0,122,154,243,122.0,154.0,243.0,-1410.00341796875,2067.02197265625,-479.7637023925781,500.1867370605469,-1025.0069580078125,-633.0184936523438,678.986572265625,0.056989357535805626,0.004553734061930784,0.6015625,0.4765625,12.0
train(totalseg),s0069,F:\Totalsegmentator_dataset_v201\nii\s0069.nii.gz,1.5,1.5,1.5,305,305,116,457.5,457.5,174.0,-1333.0,1272.0,-652.0842895507812,465.7591857910156,-1024.0,-990.0,126.0,0.003592470102597521,3.391745492314638e-05,1.787109375,1.787109375,18.0
train(totalseg),s0059,F:\Totalsegmentator_dataset_v201\nii\s0059.nii.gz,1.5,1.5,1.5,233,233,449,349.5,349.5,673.5,-1213.0,3254.0,-567.209228515625,483.3478088378906,-1023.0,-908.0,335.0,0.004321464017932236,0.0009813024550160822,1.365234375,1.365234375,18.0
train(totalseg),s0062,F:\Totalsegmentator_dataset_v201\nii\s0062.nii.gz,1.0,1.0,1.0,273,205,273,273.0,205.0,273.0,-1416.016845703125,3274.993896484375,-607.0369262695312,499.7547302246094,-1024.033203125,-977.9653930664062,335.0058898925781,0.08405879968960198,0.0021462912986973544,0.80078125,1.06640625,12.0
train(totalseg),s0058,F:\Totalsegmentator_dataset_v201\nii\s0058.nii.gz,1.5,1.5,1.5,298,298,325,447.0,447.0,487.5,-1345.0,3412.0,-431.0828552246094,483.32220458984375,-1024.0,-134.0,379.0,0.0017509603255985826,0.0016906719914432143,1.74609375,1.74609375,18.0
train(totalseg),s0066,F:\Totalsegmentator_dataset_v201\nii\s0066.nii.gz,1.0,1.0,1.0,260,202,217,260.0,202.0,217.0,-1248.0091552734375,1541.0042724609375,-420.7536315917969,483.68304443359375,-1015.9861450195312,-126.02027130126953,518.9991455078125,0.0014351341476640375,0.0011755886103205413,0.7890625,1.015625,12.0
train(totalseg),s0074,F:\Totalsegmentator_dataset_v201\nii\s0074.nii.gz,1.5,1.5,1.5,251,192,180,376.5,288.0,270.0,-1167.0,1615.0,-284.1349182128906,454.410888671875,-1024.0,-70.0,463.0,0.00694213885199941,0.001177004943190202,1.125,1.470703125,18.0
train(totalseg),s0065,F:\Totalsegmentator_dataset_v201\nii\s0065.nii.gz,1.5,1.5,1.5,243,243,409,364.5,364.5,613.5,-1068.0,3136.0,-493.9365539550781,511.226318359375,-1016.0,-823.0,499.0,0.0011599910215080098,0.0014759607336310733,1.423828125,1.423828125,18.0
train(totalseg),s0070,F:\Totalsegmentator_dataset_v201\nii\s0070.nii.gz,1.5,1.5,1.5,242,242,270,363.0,363.0,405.0,-1041.0,2500.0,-640.984619140625,479.7028503417969,-1018.0,-935.0,371.0,0.0011560635151919901,0.0006005459048283992,1.41796875,1.41796875,18.0
train(totalseg),s0073,F:\Totalsegmentator_dataset_v201\nii\s0073.nii.gz,1.5,1.5,1.5,247,245,265,370.5,367.5,397.5,-1048.0,1382.0,-389.0531005859375,462.8093566894531,-1006.0,-122.0,366.0,0.00016948857663830072,0.0002351513695743311,1.435546875,1.447265625,18.0
train(totalseg),s0072,F:\Totalsegmentator_dataset_v201\nii\s0072.nii.gz,1.5,1.5,1.5,286,286,269,429.0,429.0,403.5,-1094.0,3050.0,-631.0955200195312,477.6466064453125,-1024.0,-958.0,294.0,0.003171367271053461,0.0004750233694045683,1.67578125,1.67578125,18.0
train(totalseg),s0071,F:\Totalsegmentator_dataset_v201\nii\s0071.nii.gz,1.5,1.5,1.5,308,308,278,462.0,462.0,417.0,-1059.0,1984.0,-676.463134765625,451.54058837890625,-1024.0,-981.0,225.0,0.0034707770973304002,5.998742918298183e-05,1.8046875,1.8046875,18.0
train(totalseg),s0084,F:\Totalsegmentator_dataset_v201\nii\s0084.nii.gz,1.5,1.5,1.5,128,128,99,192.0,192.0,148.5,-1026.0,2233.0,-359.66058349609375,420.2813720703125,-1002.0,-132.0,474.0,4.932133838383839e-06,0.00019975142045454547,0.75,0.75,18.0
train(totalseg),s0081,F:\Totalsegmentator_dataset_v201\nii\s0081.nii.gz,1.0,1.0,1.0,135,153,153,135.0,153.0,153.0,-1447.9866943359375,3360.021240234375,-514.461181640625,532.7578125,-1023.9805908203125,-879.962646484375,903.9745483398438,0.009277846830722964,0.007696309366195222,0.59765625,0.52734375,12.0
train(totalseg),s0083,F:\Totalsegmentator_dataset_v201\nii\s0083.nii.gz,1.5,1.5,1.5,156,156,124,234.0,234.0,186.0,-1027.0,2345.0,-529.8422241210938,460.1321105957031,-1020.0,-841.0,299.0,0.00022997921571122563,0.00018027189243070136,0.9140625,0.9140625,18.0
train(totalseg),s0079,F:\Totalsegmentator_dataset_v201\nii\s0079.nii.gz,1.0,1.0,1.0,220,196,196,220.0,196.0,196.0,-1403.0,2033.0076904296875,-614.9409790039062,513.9479370117188,-1024.9742431640625,-987.9841918945312,666.0147094726562,0.1336262589451365,0.0033082806406421568,0.765625,0.859375,12.0
train(totalseg),s0075,F:\Totalsegmentator_dataset_v201\nii\s0075.nii.gz,1.5,1.5,1.5,220,363,317,330.0,544.5,475.5,-1120.0,3151.0,-564.7190551757812,495.5853271484375,-1024.0,-932.0,410.44999999995343,0.0005289222925854338,0.00086681633969341,2.126953125,1.2890625,18.0
train(totalseg),s0085,F:\Totalsegmentator_dataset_v201\nii\s0085.nii.gz,1.5,1.5,1.5,135,135,95,202.5,202.5,142.5,-1025.0,1101.0,-162.330078125,290.8683166503906,-844.0,-76.0,335.0,5.775756263085697e-07,7.508483142011407e-06,0.791015625,0.791015625,18.0
train(totalseg),s0078,F:\Totalsegmentator_dataset_v201\nii\s0078.nii.gz,1.5,1.5,1.5,271,271,266,406.5,406.5,399.0,-1130.0,3255.0,-559.1702880859375,504.9991149902344,-1024.0,-937.0,434.0,0.0016395951740719754,0.001251067938005591,1.587890625,1.587890625,18.0
train(totalseg),s0077,F:\Totalsegmentator_dataset_v201\nii\s0077.nii.gz,1.5,1.5,1.5,255,255,272,382.5,382.5,408.0,-1038.0,2150.0,-446.7955322265625,474.5685119628906,-1023.0,-126.0,324.0,0.0003760431508243436,0.0007592102584978628,1.494140625,1.494140625,18.0
train(totalseg),s0082,F:\Totalsegmentator_dataset_v201\nii\s0082.nii.gz,1.5,1.5000001192092896,1.5000001192092896,260,205,311,390.0,307.50002443790436,466.50003707408905,-1213.0,1336.0,-410.891357421875,469.45050048828125,-1023.0,-113.0,380.0,0.005625438426940426,0.0001949167450315233,1.201171970460564,1.5234375,18.000001430511475
train(totalseg),s0088,F:\Totalsegmentator_dataset_v201\nii\s0088.nii.gz,1.5,1.5,1.5,311,311,90,466.5,466.5,135.0,-1451.0,3462.0,-688.6038818359375,456.624755859375,-1024.0,-973.0,291.0,0.008736468812357193,0.00045951183759932634,1.822265625,1.822265625,18.0
train(totalseg),s0080,F:\Totalsegmentator_dataset_v201\nii\s0080.nii.gz,1.5,1.5,1.5,306,306,233,459.0,459.0,349.5,-1228.0,2485.0,-669.5059814453125,467.0463562011719,-1032.0,-958.0,369.0,0.030006841852372287,0.0009458596205166833,1.79296875,1.79296875,18.0
train(totalseg),s0099,F:\Totalsegmentator_dataset_v201\nii\s0099.nii.gz,1.5,1.5,1.5,108,108,77,162.0,162.0,115.5,-1032.0,1883.0,-275.1069030761719,516.5227661132812,-1023.0,-33.0,1083.0,0.0018215666363814512,0.011420421142643364,0.6328125,0.6328125,18.0
train(totalseg),s0092,F:\Totalsegmentator_dataset_v201\nii\s0092.nii.gz,1.5000001192092896,1.5,1.4999998807907104,243,167,203,364.50002896785736,250.5,304.4999758005142,-1279.0,1453.0,-345.2652893066406,472.7032165527344,-1024.0,-95.0,419.0,0.008023238805308848,0.00019907877510714141,0.978515625,1.4238282381556928,17.999998569488525
train(totalseg),s0100,F:\Totalsegmentator_dataset_v201\nii\s0100.nii.gz,1.5,1.5,1.5,91,91,121,136.5,136.5,181.5,-1029.0,2190.0,-216.54966735839844,545.560546875,-1017.0,-10.0,1341.0,0.0002704588119173534,0.023300375947728595,0.533203125,0.533203125,18.0
train(totalseg),s0101,F:\Totalsegmentator_dataset_v201\nii\s0101.nii.gz,1.5,1.5,1.5,119,119,74,178.5,178.5,111.0,-1027.0,3137.0,-294.5727844238281,548.085205078125,-1001.0,-11.0,1254.0,1.908553564510065e-06,0.022026616688010658,0.697265625,0.697265625,18.0
train(totalseg),s0089,F:\Totalsegmentator_dataset_v201\nii\s0089.nii.gz,1.5,1.5,1.5,221,221,263,331.5,331.5,394.5,-1251.0,3256.0,-423.7978515625,498.4234313964844,-1018.0,-138.0,437.0,0.004985757702747698,0.0012217803879724931,1.294921875,1.294921875,18.0
train(totalseg),s0098,F:\Totalsegmentator_dataset_v201\nii\s0098.nii.gz,1.5,1.5,1.5000001192092896,231,170,231,346.5,255.0,346.5000275373459,-1122.0,1487.0,-268.7608947753906,449.6038818359375,-1024.0,-62.0,422.0,0.005781375911246041,0.0001802373842098823,0.99609375,1.353515625,18.000001430511475
train(totalseg),s0076,F:\Totalsegmentator_dataset_v201\nii\s0076.nii.gz,1.5,1.5,1.5,319,319,441,478.5,478.5,661.5,-1294.0,3408.0,-638.1778564453125,456.7747802734375,-1024.0,-925.0,294.0,0.0037423948969765117,0.0008287390507273377,1.869140625,1.869140625,18.0
train(totalseg),s0090,F:\Totalsegmentator_dataset_v201\nii\s0090.nii.gz,1.0,1.0,1.0,258,158,275,258.0,158.0,275.0,-1101.0137939453125,1516.98681640625,-422.0578918457031,488.2578430175781,-1024.0020751953125,-112.9830551147461,440.9884033203125,0.01328873069820965,0.0006481654936173629,0.6171875,1.0078125,12.0
train(totalseg),s0095,F:\Totalsegmentator_dataset_v201\nii\s0095.nii.gz,1.5,1.5,1.5,221,221,413,331.5,331.5,619.5,-1344.0,3178.0,-378.86474609375,484.5941467285156,-1024.0,-146.0,443.0,0.007243049519075036,0.0011102882714076777,1.294921875,1.294921875,18.0
train(totalseg),s0103,F:\Totalsegmentator_dataset_v201\nii\s0103.nii.gz,1.5,1.5,1.5,178,178,117,267.0,267.0,175.5,-1036.0,3204.0,-652.9378662109375,502.0047607421875,-1002.0,-943.0,949.0,1.4027409558276873e-05,0.007514914912970714,1.04296875,1.04296875,18.0
train(totalseg),s0102,F:\Totalsegmentator_dataset_v201\nii\s0102.nii.gz,1.5,1.5,1.5,369,152,369,553.5,228.0,553.5,-1385.0,3100.0,-767.703857421875,434.7745666503906,-1024.0,-1003.0,343.0,0.006352385173941189,0.00039596109057782683,0.890625,2.162109375,18.0
train(totalseg),s0086,F:\Totalsegmentator_dataset_v201\nii\s0086.nii.gz,1.5,1.5,1.5,273,430,430,409.5,645.0,645.0,-1124.0,1436.0,-761.090576171875,423.32958984375,-1024.0,-999.0,237.0,0.004390532849159134,6.026423549408947e-05,2.51953125,1.599609375,18.0
train(totalseg),s0096,F:\Totalsegmentator_dataset_v201\nii\s0096.nii.gz,1.5,1.5,1.5,259,259,310,388.5,388.5,465.0,-1148.0,3104.0,-490.8594970703125,490.7707824707031,-1023.0,-537.0,346.0,0.0006881904716564444,0.0004570304131523197,1.517578125,1.517578125,18.0
train(totalseg),s0106,F:\Totalsegmentator_dataset_v201\nii\s0106.nii.gz,1.5,1.5,1.5,197,197,181,295.5,295.5,271.5,-1476.0,3375.0,-385.8623962402344,503.67462158203125,-1022.0,-97.0,393.0,0.008017160675767094,0.0017504618166992007,1.154296875,1.154296875,18.0
train(totalseg),s0110,F:\Totalsegmentator_dataset_v201\nii\s0110.nii.gz,1.5,1.5,1.5,165,154,165,247.5,231.0,247.5,-1347.0,3442.0,-442.3909606933594,553.601318359375,-1024.0,-585.0,987.0,0.007027297771099424,0.00903939036170441,0.90234375,0.966796875,18.0
train(totalseg),s0105,F:\Totalsegmentator_dataset_v201\nii\s0105.nii.gz,1.5,1.5,1.5,283,283,116,424.5,424.5,174.0,-1137.0,1398.0,-664.1516723632812,460.3861389160156,-1025.0,-969.0,207.0,0.010065848073129841,5.489581903754712e-05,1.658203125,1.658203125,18.0
train(totalseg),s0091,F:\Totalsegmentator_dataset_v201\nii\s0091.nii.gz,1.5,1.5,1.5,312,312,437,468.0,468.0,655.5,-1109.0,3096.0,-609.799072265625,479.0546875,-1024.0,-950.0,301.0,0.0023960413858873006,0.00040028837312254924,1.828125,1.828125,18.0
train(totalseg),s0104,F:\Totalsegmentator_dataset_v201\nii\s0104.nii.gz,1.5,1.5,1.5,295,295,202,442.5,442.5,303.0,-1261.0,2282.0,-694.3999633789062,443.9737854003906,-1033.0,-966.0,314.0,0.02755694675685583,0.001028553758189008,1.728515625,1.728515625,18.0
train(totalseg),s0111,F:\Totalsegmentator_dataset_v201\nii\s0111.nii.gz,1.5,1.5,1.5,221,221,247,331.5,331.5,370.5,-1620.0,3262.0,-524.4014282226562,506.1110534667969,-1024.0,-851.0,430.0,0.008796615972008657,0.0009098346862869113,1.294921875,1.294921875,18.0
